epoch;train_loss;train_acc;val_loss;val_acc
152;0.5560314059257507;tensor(0.8500, dtype=torch.float64);0.6391340494155884;tensor(0.6364, dtype=torch.float64)
153;0.5699695348739624;tensor(0.8400, dtype=torch.float64);0.6367788910865784;tensor(0.7273, dtype=torch.float64)
154;0.5634607076644897;tensor(0.8450, dtype=torch.float64);0.6356695294380188;tensor(0.7273, dtype=torch.float64)
155;0.5593189001083374;tensor(0.8550, dtype=torch.float64);0.6353669762611389;tensor(0.7273, dtype=torch.float64)
156;0.5563888549804688;tensor(0.8500, dtype=torch.float64);0.6360762119293213;tensor(0.6818, dtype=torch.float64)
157;0.5544530749320984;tensor(0.8500, dtype=torch.float64);0.6362014412879944;tensor(0.6364, dtype=torch.float64)
158;0.5519378185272217;tensor(0.8200, dtype=torch.float64);0.6369971036911011;tensor(0.5909, dtype=torch.float64)
159;0.5532201528549194;tensor(0.8450, dtype=torch.float64);0.6353167295455933;tensor(0.6364, dtype=torch.float64)
160;0.5538792610168457;tensor(0.8150, dtype=torch.float64);0.6325480937957764;tensor(0.7273, dtype=torch.float64)
161;0.5542914271354675;tensor(0.8500, dtype=torch.float64);0.6317725777626038;tensor(0.7273, dtype=torch.float64)
162;0.5536352396011353;tensor(0.8400, dtype=torch.float64);0.6322553753852844;tensor(0.7727, dtype=torch.float64)
163;0.5658667087554932;tensor(0.8400, dtype=torch.float64);0.6338344812393188;tensor(0.6364, dtype=torch.float64)
164;0.5387970209121704;tensor(0.8350, dtype=torch.float64);0.632422924041748;tensor(0.7273, dtype=torch.float64)
165;0.5662386417388916;tensor(0.8350, dtype=torch.float64);0.6305164694786072;tensor(0.7273, dtype=torch.float64)
166;0.545559287071228;tensor(0.8350, dtype=torch.float64);0.6307250261306763;tensor(0.7273, dtype=torch.float64)
167;0.5381941795349121;tensor(0.8200, dtype=torch.float64);0.6316895484924316;tensor(0.7727, dtype=torch.float64)
168;0.5321805477142334;tensor(0.8800, dtype=torch.float64);0.6326059699058533;tensor(0.7273, dtype=torch.float64)
169;0.5461989045143127;tensor(0.8450, dtype=torch.float64);0.6311377882957458;tensor(0.7727, dtype=torch.float64)
170;0.5333826541900635;tensor(0.8400, dtype=torch.float64);0.6302942037582397;tensor(0.7273, dtype=torch.float64)
171;0.5254486203193665;tensor(0.8650, dtype=torch.float64);0.6295230388641357;tensor(0.7273, dtype=torch.float64)
172;0.537626326084137;tensor(0.8500, dtype=torch.float64);0.6294344067573547;tensor(0.7273, dtype=torch.float64)
173;0.5446858406066895;tensor(0.8400, dtype=torch.float64);0.6298755407333374;tensor(0.7727, dtype=torch.float64)
174;0.5258635878562927;tensor(0.8450, dtype=torch.float64);0.6297450661659241;tensor(0.7727, dtype=torch.float64)
175;0.5385572910308838;tensor(0.8550, dtype=torch.float64);0.6284819841384888;tensor(0.7727, dtype=torch.float64)
176;0.5295370221138;tensor(0.8650, dtype=torch.float64);0.6274043321609497;tensor(0.7273, dtype=torch.float64)
177;0.533739447593689;tensor(0.8400, dtype=torch.float64);0.6280283331871033;tensor(0.7727, dtype=torch.float64)
178;0.5310889482498169;tensor(0.8650, dtype=torch.float64);0.6313682198524475;tensor(0.6364, dtype=torch.float64)
